game_id,similar_games
251990,"[6910, 268750, 208730, 45700, 256290]"
252410,"[102600, 215080, 269210, 241600, 245170]"
252490,"[203290, 290080, 391460, 344760, 212070]"
252950,"[212800, 3910, 241560, 221640, 263760]"
253030,"[17410, 40390, 49600, 233130, 1930]"
253980,"[6000, 294860, 91700, 9350, 40950]"
254700,"[45760, 204100, 250320, 50300, 97330]"
255220,"[44350, 8600, 244210, 241560, 211500]"
255710,"[225420, 367450, 284160, 225540, 262060]"
256290,"[268420, 242860, 208730, 6910, 268750]"
257510,"[221910, 221260, 316790, 340, 232790]"
258520,"[108710, 233290, 202750, 310560, 35130]"
259080,"[8190, 220200, 265210, 45740, 249130]"
261640,"[214340, 97330, 26800, 323470, 48190]"
262060,"[250900, 113200, 7600, 248820, 241600]"
262410,"[50300, 204100, 45760, 250400, 355840]"
263760,"[291480, 220240, 319510, 233720, 265930]"
264200,"[385770, 236110, 346900, 230050, 269210]"
264710,"[319510, 265210, 265930, 17080, 332800]"
265210,"[332800, 265930, 233720, 319510, 238320]"
265300,"[288470, 335300, 226860, 212630, 236430]"
265630,"[200210, 223470, 346010, 334230, 99900]"
265930,"[332800, 319510, 233720, 17390, 206190]"
266840,"[12110, 12120, 12100, 208580, 202200]"
267530,"[17410, 203140, 264710, 39140, 289950]"
268050,"[287700, 311340, 1200, 298110, 201810]"
268420,"[268750, 242860, 6910, 256290, 208730]"
268750,"[268420, 242860, 208730, 256290, 6910]"
269210,"[252410, 102600, 215080, 245170, 241600]"
270850,"[332310, 239820, 58520, 22000, 207690]"
271590,"[298110, 241560, 263760, 284160, 234630]"
272470,"[9350, 238960, 108710, 202750, 226720]"
272510,"[212160, 339610, 323470, 105450, 304030]"
273110,"[206210, 291550, 12220, 262410, 312990]"
274170,"[219150, 218620, 248820, 1250, 211400]"
274190,"[319510, 265930, 332800, 233720, 17390]"
274940,"[209080, 242700, 63710, 22600, 282440]"
280790,"[213670, 304050, 34830, 214340, 34870]"
282070,"[242920, 7600, 290080, 214340, 222730]"
282140,"[239200, 57300, 339800, 92800, 17470]"
282440,"[209080, 274940, 250400, 63710, 41000]"
284160,"[332800, 265930, 319510, 233720, 17390]"
285310,"[203160, 231430, 7830, 244450, 20540]"
286160,"[70000, 236090, 17500, 238430, 210770]"
286690,"[17300, 287390, 108800, 13520, 16450]"
287390,"[286690, 17300, 108800, 13520, 16450]"
287450,"[350080, 231430, 20540, 7830, 228200]"
287700,"[311340, 268050, 1200, 225540, 108600]"
288470,"[226860, 265300, 4780, 212630, 39680]"
289130,"[226840, 203630, 228260, 49470, 107200]"
289650,"[292030, 39140, 108800, 287390, 245470]"
289950,"[227300, 314160, 313160, 211500, 267530]"
290080,"[105450, 346010, 58610, 244160, 222750]"
290790,"[249050, 204880, 244160, 39150, 226840]"
291480,"[212070, 317360, 333930, 206210, 263760]"
291550,"[339280, 386360, 207140, 200170, 335240]"
291650,"[4500, 207170, 7600, 247000, 248390]"
292030,"[289650, 4770, 17470, 4780, 225540]"
292120,"[234650, 226840, 289130, 203630, 228260]"
294860,"[253980, 6000, 9350, 40950, 226720]"
298110,"[234140, 287390, 268050, 286690, 241560]"
298240,"[302830, 317360, 386360, 391460, 236390]"
298630,"[17390, 265930, 332800, 319510, 57690]"
299360,"[224260, 367450, 212160, 339610, 346900]"
300550,"[32370, 208580, 238210, 9900, 2600]"
301520,"[212070, 346010, 355840, 299360, 113400]"
302510,"[242700, 67370, 307780, 223710, 48700]"
302830,"[391460, 298240, 317360, 299360, 280790]"
304030,"[238960, 286160, 248820, 214420, 272510]"
304050,"[248570, 391460, 383080, 280790, 317360]"
304930,"[280790, 212800, 262410, 299360, 312990]"
305620,"[350080, 201810, 251060, 58610, 244160]"
307690,"[339610, 212160, 4770, 367450, 272510]"
307780,"[55100, 41070, 201870, 67370, 99900]"
310560,"[108710, 258520, 202750, 35130, 238090]"
311210,"[312990, 313160, 230050, 22300, 208650]"
311340,"[287700, 268050, 115100, 208650, 235460]"
312990,"[389570, 335240, 242720, 240320, 207230]"
313120,"[233450, 98200, 206480, 39120, 9880]"
313160,"[227300, 314160, 289950, 113400, 311210]"
314160,"[227300, 289950, 313160, 211500, 267530]"
316010,"[208520, 8500, 248390, 97330, 238210]"
316790,"[6030, 257510, 47870, 130, 50]"
317360,"[291480, 113400, 302830, 298240, 391460]"
319510,"[332800, 265930, 233720, 17390, 17080]"
323470,"[339610, 212160, 272510, 250900, 218230]"
325610,"[64000, 232890, 251060, 222750, 25890]"
330830,"[256290, 21090, 268420, 108800, 6910]"
331470,"[10680, 213670, 334230, 346900, 244210]"
332310,"[270850, 239820, 58520, 22000, 207690]"
332800,"[265930, 319510, 233720, 17390, 274190]"
333930,"[44350, 8600, 211500, 255220, 212070]"
334230,"[265630, 200210, 346010, 223470, 346900]"
335240,"[242720, 207230, 240320, 207140, 212500]"
335300,"[236430, 265300, 226860, 228300, 225540]"
339280,"[386360, 291550, 6370, 298240, 304050]"
339610,"[212160, 307690, 323470, 272510, 367450]"
339800,"[391540, 239200, 98800, 239030, 57300]"
344760,"[242720, 207230, 240320, 248570, 212500]"
346010,"[200210, 265630, 223470, 290080, 334230]"
346110,"[215470, 380600, 323470, 70000, 339280]"
